REG_ID,BAT_ID,SORTORDER
126,479,1215
126,536,1216
126,504,1217
126,556,1218
126,522,1219
126,615,1220
126,527,1221
126,487,1222
126,509,1223
126,512,1224
126,488,1225
126,637,1226
126,489,1227
126,471,1228
126,520,1229
126,511,1230
126,561,1231
126,535,1232
126,532,1233
126,559,1234
128,1,99999
128,3,1236
128,17,1237
128,16,1238
128,9,1239
128,188,1240
128,18,1241
128,13,1242
128,6,1243
128,2,1244
128,15,1245
128,189,1246
128,5,1247
128,190,1248
128,191,1249
128,19,1250
128,12,1251
128,11,1252
128,8,1253
128,196,1254
128,4,1255
128,10,1256
128,14,1257
130,392,1258
130,607,1259
130,518,1260
130,466,1261
130,465,1262
130,564,1263
130,638,1264
130,568,1265
130,462,1266
130,622,1267
130,620,1268
130,539,1269
130,481,1270
130,459,1271
130,589,1272
130,519,1273
130,619,1274
130,600,1275
130,505,1276
130,612,1277
130,609,1278
130,581,1279
130,623,1280
130,500,1281
131,392,1282
132,1,99999
132,3,1284
132,2,1285
133,392,1286
133,583,1287
133,528,1288
133,603,1289
133,595,1290
133,514,1291
133,531,1292
133,489,1293
133,569,1294
133,635,1295
133,582,1296
133,616,1297
133,592,1298
134,392,1299
135,392,1300
136,392,1301
137,392,1302
138,392,1303
139,392,1304
140,392,1305
141,392,1306
142,392,1307
143,393,1308
143,395,1309
143,394,1310
143,396,1311
143,397,1312
145,2,1313
145,1,99999
145,3,1315
146,392,1316
147,1,99999
148,211,1318
148,2,1319
148,1,99999
148,212,1321
148,4,1322
148,36,1323
148,3,1324
148,213,1325
148,214,1326
148,5,1327
148,39,1328
148,43,1329
148,215,1330
148,216,1331
148,217,1332
148,42,1333
266,398,1334
266,399,1335
266,400,1336
266,401,1337
266,402,1338
266,403,1339
266,404,1340
266,405,1341
266,406,1342
266,407,1343
266,408,1344
266,409,1345
266,410,1346
266,411,1347
266,412,1348
266,413,1349
266,414,1350
266,415,1351
266,416,1352
266,417,1353
266,418,1354
266,419,1355
266,420,1356
266,421,1357
266,422,1358
266,423,1359
266,424,1360
266,425,1361
266,426,1362
266,427,1363
266,428,1364
266,429,1365
266,430,1366
266,431,1367
266,432,1368
266,433,1369
266,434,1370
266,435,1371
266,436,1372
266,437,1373
266,439,1374
266,438,1375
266,440,1376
266,441,1377
266,442,1378
266,443,1379
266,444,1380
266,445,1381
266,446,1382
266,447,1383
266,448,1384
266,449,1385
266,450,1386
266,451,1387
266,452,1388
266,453,1389
266,454,1390
266,455,1391
204,1,99999
204,3,1393
204,2,1394
56,218,1395
56,219,1396
56,220,1397
56,221,1398
56,222,1399
56,223,1400
56,224,1401
57,225,1402
57,226,1403
58,225,1404
58,227,1405
59,226,1406
60,225,1407
60,226,1408
60,220,1409
60,221,1410
61,226,1411
61,220,1412
61,221,1413
61,222,1414
63,226,1415
63,228,1416
63,221,1417
63,229,1418
63,230,1419
64,226,1420
64,232,1421
65,225,1422
66,233,1423
66,220,1424
66,234,1425
67,225,1426
67,232,1427
68,225,1428
69,226,1429
69,220,1430
70,225,1431
70,237,1432
71,226,1433
72,225,1434
72,226,1435
65,226,1436
66,225,1437
75,226,1438
75,220,1439
75,221,1440
75,222,1441
76,225,1442
76,226,1443
77,238,1444
77,220,1445
77,221,1446
78,239,1447
78,240,1448
78,241,1449
78,242,1450
79,243,1451
80,244,1452
80,245,1453
81,226,1454
81,220,1455
81,221,1456
83,226,1457
83,220,1458
84,222,1459
85,225,1460
85,226,1461
86,226,1462
86,220,1463
87,225,1464
88,225,1465
88,226,1466
88,220,1467
88,221,1468
89,248,1469
89,249,1470
90,225,1471
90,250,1472
90,232,1473
91,225,1474
91,226,1475
91,251,1476
91,221,1477
91,252,1478
91,253,1479
92,220,1480
93,225,1481
94,225,1482
94,226,1483
95,225,1484
95,226,1485
95,254,1486
95,255,1487
96,257,1488
96,258,1489
96,259,1490
97,225,1491
97,260,1492
98,225,1493
98,226,1494
98,220,1495
98,221,1496
98,261,1497
99,220,1498
99,262,1499
99,222,1500
100,225,1501
100,263,1502
101,225,1503
102,225,1504
103,225,1505
103,226,1506
104,225,1507
104,226,1508
105,225,1509
220,221,1510
220,222,1511
220,264,1512
109,226,1513
109,265,1514
109,230,1515
109,264,1516
110,226,1517
110,220,1518
111,266,1519
112,226,1520
112,220,1521
112,221,1522
112,222,1523
112,230,1524
113,267,1525
113,268,1526
113,269,1527
113,270,1528
114,273,1529
114,274,1530
115,275,1531
115,277,1532
116,225,1533
120,279,1534
120,221,1535
120,280,1536
120,281,1537
124,33,1538
124,20,1539
124,30,1540
124,23,1541
222,456,1542
222,457,1543
222,458,1544
223,2,1545
223,1,99999
227,282,1547
227,283,1548
227,284,1549
227,285,1550
227,286,1551
227,287,1552
227,288,1553
227,289,1554
227,290,1555
227,291,1556
227,292,1557
227,293,1558
227,294,1559
227,295,1560
227,296,1561
227,297,1562
227,298,1563
227,299,1564
227,300,1565
227,301,1566
227,302,1567
227,303,1568
227,304,1569
227,305,1570
227,306,1571
227,307,1572
244,392,1573
245,1,99999
246,2,1575
246,1,99999
125,650,1577
125,651,1578
125,649,1579
125,648,1580
125,647,1581
125,645,1582
125,646,1583
251,392,1584
251,633,1585
251,481,1586
254,392,1587
255,392,1588
256,392,1589
265,392,1590
74,392,1591
81,392,1592
111,392,1593
69,392,1594
71,10,1595
113,392,1596
72,392,1597
93,392,1598
77,392,1599
51,392,1600
110,392,1601
52,392,1602
102,392,1603
68,392,1604
89,392,1605
71,392,1606
147,392,1607
1,313,1608
114,392,1609
124,392,1610
65,392,1611
122,392,1612
53,392,1613
108,392,1614
116,392,1615
83,392,1616
70,392,1617
1,327,1618
86,392,1619
79,392,1620
60,392,1621
84,392,1622
85,392,1623
99,392,1624
220,392,1625
125,392,1626
101,392,1627
104,392,1628
75,392,1629
1,338,1630
115,392,1631
95,392,1632
97,392,1633
62,392,1634
109,392,1635
1,334,1636
77,310,1637
1,321,1638
84,344,1639
48,314,1640
63,392,1641
47,329,1642
1,333,1643
115,320,1644
47,312,1645
48,318,1646
1,328,1647
1,316,1648
79,310,1649
47,322,1650
75,310,1651
1,335,1652
1,317,1653
1,336,1654
128,392,1655
1,330,1656
1,342,1657
47,319,1658
103,392,1659
1,337,1660
90,392,1661
1,326,1662
