REG_ID,BAT_ID,SORTORDER
1,68,6018
1,69,6174
1,70,6387
1,71,6534
1,72,6739
1,73,6758
1,74,6781
1,75,6802
1,76,6805
1,77,6807
1,78,6811
1,79,6851
1,80,6894
1,81,6928
1,82,7055
1,83,7069
1,84,7076
1,85,7093
1,86,7124
1,87,7299
1,88,7424
1,89,7451
1,90,7490
1,91,7518
1,92,7662
1,93,7749
1,94,7803
1,95,7865
1,96,7927
1,97,8023
1,98,8160
1,99,8180
1,100,8208
1,101,8281
1,102,8308
1,103,8399
1,104,8432
1,105,8455
1,106,8642
1,107,8676
3,109,8729
3,110,9482
3,111,10931
3,112,11698
3,113,13333
3,114,13361
3,115,13382
3,116,14203
3,117,15226
3,118,16526
3,119,17254
3,120,17255
3,121,18242
3,122,18685
3,123,19421
3,124,19937
3,125,19960
3,126,19993
3,127,20558
3,128,20576
3,129,21012
3,130,21733
3,131,22266
3,132,22393
3,133,22891
3,134,22895
3,135,23300
3,136,23327
3,137,23328
3,138,23329
3,139,23342
3,140,23387
3,141,23407
3,142,23413
3,143,23454
3,144,23467
3,145,23486
3,146,23507
3,147,23540
3,148,23861
3,149,24017
3,150,24064
3,151,24227
3,152,24245
3,153,24250
3,154,24252
3,155,24255
3,156,24256
5,109,24257
5,110,24304
5,111,25969
5,157,26008
5,158,26421
5,159,26635
5,160,27339
5,114,27424
5,115,27991
5,116,28470
5,117,28940
5,118,29085
5,120,29094
5,122,29349
5,161,29351
5,162,29362
5,163,29378
5,123,29390
5,144,29399
7,109,29406
7,110,31377
7,111,32756
7,112,32796
7,113,33861
7,114,34678
7,115,35577
7,165,36354
7,160,36378
7,166,36391
7,167,36408
7,168,36416
7,116,36506
7,117,36719
7,118,37061
7,120,37247
7,169,37252
7,170,37783
7,171,37823
7,172,37827
7,173,37835
7,174,37841
7,175,37849
7,176,37881
7,177,37907
7,178,37913
7,179,37915
9,109,37916
9,110,38211
9,111,39386
9,112,39409
9,180,39429
9,159,39441
9,160,39837
9,181,39838
9,182,39840
9,183,39841
9,184,40164
9,166,40165
9,185,40171
9,186,40172
9,187,40173
9,167,41071
9,188,41074
9,189,41893
9,190,41897
9,191,42052
9,118,42064
9,120,43001
9,121,43810
9,122,44023
9,161,44027
9,162,44341
9,163,44343
9,144,44353
11,109,44359
11,110,44719
11,111,45796
11,112,45824
11,113,45829
11,114,45837
11,115,45988
11,144,46251
13,109,46270
13,110,47139
13,111,48210
13,112,48235
13,113,48241
13,114,48250
13,115,48483
13,116,48640
13,117,48830
13,194,48890
13,170,48891
13,195,48903
13,144,48907
15,109,48911
15,110,50263
15,114,51538
15,115,51881
15,116,52094
15,197,52616
15,117,52640
15,118,53067
15,111,53363
15,112,53382
15,113,53389
15,120,53408
15,144,53410
15,198,53419
17,109,53420
17,110,53985
17,111,54485
17,112,54898
18,109,54919
19,807,55699
20,199,56512
20,200,56861
20,201,56877
20,202,56886
20,798,56894
20,799,56895
20,800,56913
20,801,56915
20,802,56931
20,803,56964
21,807,56979
21,203,57589
21,204,57593
21,205,57602
21,206,57610
21,207,57622
21,208,57632
21,209,57661
21,210,57664
21,211,57667
21,212,57669
21,213,57677
21,214,57684
21,804,57719
21,805,57728
21,216,57729
22,807,57745
24,807,58377
24,218,62246
26,109,63915
26,170,65333
26,110,65380
26,220,66732
26,111,66758
26,221,66799
26,112,66808
26,222,67607
26,114,67900
26,115,68515
26,116,69296
26,117,69915
26,118,69921
26,120,69925
26,223,69931
26,224,69944
26,144,69957
26,171,69968
26,172,69969
26,173,69981
28,109,70001
28,110,70988
28,111,72018
28,157,72053
28,158,72638
28,226,72841
28,165,72844
28,159,72863
28,160,73303
28,181,73454
28,114,73458
28,115,74226
28,116,75115
28,117,75895
28,118,76386
28,120,76396
28,121,76654
68,391,247813
68,392,247815
68,393,247817
68,394,247818
68,395,247819
68,396,247820
68,397,247822
68,398,247823
68,399,247824
68,400,247825
68,401,247826
70,109,247827
70,110,248334
70,111,249869
70,112,249922
70,113,250615
70,114,250878
70,115,250905
70,116,251920
70,117,252318
70,118,252778
70,120,252802
70,121,253726
70,122,254125
70,161,254130
70,162,254144
70,402,254276
70,220,254302
70,403,254309
72,144,254319
72,109,254344
72,170,255542
72,110,255558
72,405,256775
72,111,256783
72,112,256840
72,180,256862
72,159,256871
72,160,257692
72,181,258080
72,183,258083
72,166,258776
72,185,259074
72,406,259080
72,187,259092
72,167,259771
72,309,260035
72,188,260041
72,189,260907
72,407,261117
72,117,261120
72,118,262155
72,120,263205
72,121,263658
72,122,264350
72,161,264361
72,162,264366
72,408,264947
72,163,265292
72,123,265744
72,124,266012
72,125,266388
72,126,266396
72,127,266399
72,128,266614
72,409,266626
72,410,266629
72,411,266635
72,412,266638
72,413,266649
72,414,266654
74,109,266656
74,110,266938
74,111,268133
74,112,268165
74,113,268194
74,114,268317
74,115,268715
74,116,268984
74,170,269032
74,220,269075
74,144,269100
74,416,269109
76,109,269111
48,290,167602
48,291,167605
48,292,167609
48,173,167616
48,293,167624
48,294,167626
48,295,167629
48,296,167631
50,109,167635
50,110,168683
50,298,170056
50,112,170086
50,299,171082
50,300,171092
50,114,171965
50,115,173061
50,116,174139
50,117,175276
50,118,175598
50,170,175604
50,263,175633
50,250,175646
50,301,175654
52,807,175656
54,109,183708
54,110,185292
54,111,185793
54,157,185861
54,114,186801
54,115,187233
54,116,188278
54,117,188984
54,118,188997
54,120,189571
54,121,190134
54,122,190501
54,161,190794
54,170,190798
54,220,190812
54,158,190822
54,159,190846
56,109,190855
56,110,192198
56,111,193305
56,116,193370
56,117,193833
56,118,194565
56,120,195321
56,121,195505
56,122,195530
56,161,196106
56,162,196692
56,163,196970
56,123,197650
56,124,198232
56,125,198242
56,126,198480
56,127,198491
56,128,198492
56,129,198494
56,130,198502
56,131,198691
56,132,198878
56,144,198898
56,170,198923
56,220,198937
56,221,198975
56,305,199007
56,306,199014
56,307,199016
56,112,199033
56,158,199370
56,226,199380
56,165,199384
56,113,199407
56,160,199640
56,181,199644
56,183,199647
56,166,199893
56,185,199907
56,308,199909
56,115,199918
56,167,200234
56,309,200239
76,170,270750
76,110,270776
76,111,272337
76,157,272393
76,158,272816
76,418,272828
76,159,272846
76,160,273237
76,114,273240
76,168,273516
76,115,274086
76,116,274313
76,117,274464
76,118,274472
76,120,274488
76,121,274548
76,122,274702
76,144,274705
76,416,274718
78,109,274722
78,110,275976
78,421,276497
78,116,276563
78,117,276972
78,118,277685
78,120,278586
78,121,279258
78,122,279462
78,161,280098
78,162,280110
78,163,280629
78,123,281000
78,124,281010
78,125,281017
78,126,281030
78,127,281042
78,128,281044
78,129,281045
78,130,281102
78,263,281104
78,422,281140
78,170,281142
78,220,281160
78,221,281180
78,157,281182
78,158,281538
78,165,281540
78,159,281560
78,160,281859
78,265,281866
78,183,281868
78,166,282454
78,423,282460
78,187,282461
78,167,282756
80,109,282762
80,110,283967
80,111,285382
80,112,285442
80,113,286000
80,114,286432
80,115,286822
80,116,286992
80,117,287082
80,118,287084
80,120,287543
80,121,287836
80,122,288059
80,161,288067
80,425,288069
80,426,288075
80,427,288078
80,144,288093
80,428,288111
82,109,288198
82,110,289560
82,111,290946
82,112,290995
82,157,291029
82,158,291619
82,113,291621
82,159,291642
82,160,292124
82,114,292130
66,117,229084
66,118,229724
66,121,230601
66,122,231154
66,328,231626
66,161,232275
66,162,232600
66,163,232609
66,329,233063
66,330,233180
66,331,233362
66,332,233614
66,333,234256
66,334,234744
66,335,235437
66,336,236141
66,337,236588
66,338,237225
66,339,237660
66,340,238043
66,266,238112
66,267,238118
